Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Stephen Curry,Gol,63,34.2,71.1,34.8,12.2,395,0.916,564,0.569,801,0.421,0.605,0.655,32,5.5,8.6,5.8,30.5,1.21,0.13,3.38,11.8,118.8,108.6
Bradley Beal,Was,60,35.8,74.5,34.1,10.6,459,0.889,1009,0.535,373,0.349,0.532,0.593,31.3,4.7,7,4.4,21.3,1.15,0.37,3.12,9.7,113.3,110.5
Damian Lillard,Por,67,35.8,74.6,31.4,11.6,482,0.927,630,0.519,704,0.391,0.554,0.623,28.7,4.2,6.3,7.5,34.6,0.93,0.25,3.03,10.8,124.8,116.1
Joel Embiid,Phi,51,31.1,64.8,35.3,12.2,548,0.859,745,0.541,154,0.377,0.545,0.636,28.5,10.5,18.7,2.8,16.2,0.98,1.35,3.12,12.1,120.8,100.1
Giannis Antetokounmpo,Mil,61,33,68.7,32.5,13.2,581,0.685,879,0.636,221,0.303,0.6,0.633,28.1,11,17.5,5.9,28.7,1.18,1.21,3.39,14.8,121.1,102.2
Luka Doncic,Dal,66,34.3,71.4,36,15.3,471,0.73,803,0.567,548,0.35,0.55,0.587,27.7,8,12.8,8.6,44.1,0.97,0.55,4.26,14.5,113.7,107.3
Zach LaVine,Chi,58,35.1,73,31.1,13.9,298,0.849,646,0.571,477,0.419,0.596,0.634,27.4,5,7.9,4.9,23.4,0.79,0.47,3.5,10,114.7,109.5
Zion Williamson,Nor,61,33.2,69.2,29.8,11.6,529,0.698,1003,0.622,34,0.294,0.616,0.649,27,7.2,11.8,3.7,19.8,0.93,0.64,2.74,10.8,123.4,109.8
Kevin Durant,Bro,35,33.1,68.9,31.2,14.5,238,0.882,414,0.577,189,0.45,0.608,0.666,26.9,7.1,11.8,5.6,27.5,0.71,1.29,3.43,12.4,121.4,109.3
Kyrie Irving,Bro,54,34.9,72.8,30.3,9.8,218,0.922,708,0.561,378,0.402,0.576,0.614,26.9,4.8,7.5,6,28.6,1.41,0.69,2.39,10.5,121,109.3
Nikola Jokic,Den,72,34.6,72,29.6,13.1,394,0.868,1056,0.606,237,0.388,0.602,0.647,26.4,10.8,17.8,8.3,40.4,1.32,0.67,3.08,15.4,129.8,104.8
Donovan Mitchell,Uta,53,33.4,69.6,33.5,10.7,316,0.845,630,0.476,461,0.386,0.52,0.569,26.4,4.4,7,5.2,26.7,0.98,0.28,2.77,10.1,114.8,105.4
Jayson Tatum,Bos,64,35.8,74.5,30.8,10.4,340,0.868,833,0.502,485,0.386,0.53,0.576,26.4,7.4,11.5,4.3,20.3,1.17,0.48,2.67,10.5,113.4,109.7
Devin Booker,Pho,67,33.9,70.6,32.7,12.4,392,0.867,916,0.543,371,0.34,0.533,0.587,25.6,4.2,7,4.3,20.6,0.79,0.24,3.09,9.1,110.1,107.6
Trae Young,Atl,63,33.7,70.3,33,16.2,546,0.886,715,0.491,397,0.343,0.499,0.589,25.3,3.9,6.3,9.4,45.5,0.84,0.17,4.14,11.6,116.9,111.9
De'Aaron Fox,Sac,58,35.1,73.1,31,11.9,417,0.719,790,0.539,320,0.322,0.523,0.565,25.2,3.5,5.5,7.2,32.7,1.5,0.47,3,9.8,112.3,112.8
LeBron James,Lal,45,33.4,69.6,31.9,15.2,255,0.698,537,0.592,285,0.365,0.577,0.603,25,7.7,12.9,7.8,41.8,1.07,0.56,3.73,13.7,113.8,103.8
Kawhi Leonard,Lac,52,34.1,71,28.6,9.2,295,0.885,654,0.557,254,0.398,0.568,0.622,24.8,6.5,10.7,5.2,24.9,1.56,0.4,2.02,11.1,125.4,108.1
James Harden,Hou,8,36.3,75.5,28.7,17.4,60,0.883,63,0.556,72,0.347,0.537,0.613,24.8,5.1,7.5,10.4,46.9,0.88,0.75,4.25,12.1,118.8,114.6
Karl-Anthony Towns,Min,50,33.8,70.4,29.1,13.7,311,0.859,560,0.541,315,0.387,0.555,0.612,24.8,10.6,17,4.5,22.6,0.76,1.14,3.2,12.5,116.4,105.4
Jaylen Brown,Bos,58,34.5,71.8,29.7,11.5,250,0.764,701,0.535,410,0.398,0.558,0.586,24.7,6,9.7,3.4,16.5,1.24,0.55,2.72,9.2,111.6,107.3
James Harden,Bro,36,36.6,76.3,28.4,16.7,263,0.856,337,0.552,262,0.366,0.551,0.619,24.6,8.6,12.9,10.9,43.8,1.28,0.75,3.97,14.4,122.4,107.8
Nikola Vucevic,Orl,44,34.1,71,29.9,8,110,0.827,620,0.515,288,0.406,0.545,0.565,24.5,11.8,17.9,3.8,22.1,0.95,0.64,1.89,12.1,111.7,108.1
Collin Sexton,Cle,60,35.3,73.4,29.7,11.6,383,0.815,841,0.508,264,0.371,0.519,0.573,24.3,3.1,4.9,4.4,22.6,1.05,0.17,2.78,7.8,110.7,112.1
Julius Randle,Nyk,71,37.6,78.2,29.3,13.7,429,0.811,933,0.474,389,0.411,0.516,0.567,24.1,10.2,14.7,6,27.2,0.9,0.25,3.38,12.1,110.9,100.3
Brandon Ingram,Nor,61,34.3,71.5,28,11,320,0.878,726,0.51,375,0.381,0.531,0.584,23.8,4.9,7.8,4.9,22.4,0.69,0.59,2.51,9.7,114.9,111.3
Shai Gilgeous-Alexander,Okc,35,33.7,70.2,27.8,13.7,229,0.808,395,0.547,170,0.418,0.571,0.623,23.7,4.7,7.3,5.9,31.2,0.77,0.66,3.03,10.3,117.7,111.9
Paul George,Lac,54,33.7,70.3,30,14.5,228,0.868,537,0.51,416,0.411,0.557,0.598,23.3,6.6,11.1,5.2,24.6,1.15,0.44,3.31,11,112.7,105.6
CJ McCollum,Por,47,34,70.9,27.1,6.4,133,0.812,464,0.509,420,0.402,0.554,0.577,23.1,3.9,6.2,4.7,23,0.94,0.45,1.36,8.8,120,114.9
Jerami Grant,Det,54,33.9,70.6,28.5,9.1,343,0.845,603,0.473,329,0.35,0.491,0.556,22.3,4.6,7.6,2.8,14.3,0.65,1.07,2.02,7.8,108.8,110
Russell Westbrook,Was,65,36.4,75.9,30.3,18,413,0.656,965,0.475,273,0.315,0.474,0.509,22.2,11.5,16.8,11.7,48.6,1.35,0.35,4.8,15.8,104.1,104.3
Anthony Davis,Lal,36,32.3,67.2,29.2,9.5,214,0.738,513,0.536,100,0.26,0.512,0.556,21.8,7.9,13.8,3.1,16.4,1.25,1.64,2.06,10,110,103.1
DeMar DeRozan,San,61,33.7,70.2,26.1,9.7,440,0.88,846,0.515,74,0.257,0.505,0.591,21.6,4.2,6.7,6.9,32,0.92,0.25,1.95,10.2,121.6,110.7
Jimmy Butler,Mia,52,33.6,69.9,26.6,10.6,416,0.863,634,0.538,102,0.245,0.514,0.607,21.5,6.9,11.8,7.1,35.1,2.08,0.35,2.1,12.1,127,107.8
Nikola Vucevic,Chi,26,32.6,67.9,28.2,7.8,46,0.87,336,0.509,152,0.388,0.532,0.55,21.5,11.6,19.7,3.9,20,0.88,0.77,1.65,12.2,112,105.2
Pascal Siakam,Tor,56,35.8,74.6,26.4,10.6,301,0.827,715,0.509,246,0.297,0.493,0.547,21.4,7.2,11.1,4.5,20.5,1.14,0.68,2.32,9.9,110.6,107.4
Jamal Murray,Den,48,35.5,73.9,24.7,11.1,153,0.869,476,0.523,316,0.408,0.559,0.592,21.2,4,6.5,4.8,20.3,1.33,0.27,2.23,8.4,116.2,111.1
Malcolm Brogdon,Ind,56,34.5,71.8,25.9,9.8,177,0.864,606,0.493,374,0.388,0.527,0.561,21.2,5.3,8.3,5.9,25.7,0.88,0.27,2.05,10.1,113,112.1
Victor Oladipo,Hou,20,33.5,69.7,29.8,10.9,83,0.783,228,0.465,153,0.32,0.471,0.508,21.2,4.8,7.6,5,25.3,1.2,0.5,2.55,9.5,100.3,111.6
Christian Wood,Hou,41,32.3,67.4,25.9,9.9,198,0.631,434,0.581,206,0.374,0.574,0.591,21,9.6,15.9,1.7,9.4,0.83,1.17,1.95,8.7,110.5,109.4
Caris LeVert,Ind,35,32.9,68.6,27.9,10.1,146,0.822,419,0.501,195,0.318,0.493,0.535,20.7,4.6,7.6,4.9,22.8,1.51,0.69,2.17,9.4,106.4,109.2
John Wall,Hou,40,32.2,67.1,31.7,14.7,211,0.749,477,0.449,249,0.317,0.458,0.503,20.6,3.2,5.3,6.9,36.2,1.05,0.78,3.53,9.6,99.3,116.4
Khris Middleton,Mil,68,33.4,69.5,25,13.1,236,0.898,709,0.508,365,0.414,0.546,0.588,20.4,6,9.4,5.4,23.2,1.09,0.15,2.6,10.4,115.5,107.1
Terry Rozier,Cha,69,34.5,72,24.4,9.5,202,0.817,562,0.512,571,0.389,0.548,0.576,20.4,4.4,6.9,4.2,20,1.25,0.38,1.87,8.4,113.3,111.8
Domantas Sabonis,Ind,62,36,75,24.1,16.9,328,0.732,742,0.582,162,0.321,0.564,0.601,20.3,12,18,6.7,27.5,1.23,0.53,3.44,13.1,115.1,103.7
Kristaps Porzingis,Dal,43,30.9,64.3,26.5,6.4,138,0.855,425,0.536,258,0.376,0.547,0.582,20.1,8.9,15.8,1.6,8.4,0.47,1.35,1.19,8.5,116.7,105.3
Victor Oladipo,Ind,9,33.3,69.3,26.5,9.7,37,0.73,83,0.47,69,0.362,0.503,0.535,20,5.7,9.2,4.2,18.7,1.67,0.22,2,9.4,104.1,107.3
Evan Fournier,Orl,26,30.3,63,26.2,11.3,123,0.797,181,0.536,188,0.388,0.56,0.604,19.7,2.9,4.9,3.7,20.9,1.04,0.35,2.08,7.9,114,111
Norman Powell,Tor,42,30.4,63.4,24.2,10.8,163,0.865,297,0.552,269,0.439,0.602,0.645,19.6,3,5.4,1.8,10,1.12,0.19,1.83,6.2,117.1,110.5
Gordon Hayward,Cha,44,34,70.8,23.9,11,185,0.843,453,0.499,205,0.415,0.537,0.584,19.6,5.9,9.3,4.1,19.5,1.18,0.32,2.07,9.2,113.9,110.7
Fred VanVleet,Tor,52,36.5,76.1,23.9,9.1,191,0.885,394,0.416,476,0.366,0.489,0.534,19.6,4.2,6.4,6.3,26.7,1.67,0.71,1.83,8.8,112.4,111
Malik Beasley,Min,37,32.8,68.4,24,8.6,80,0.85,279,0.487,321,0.399,0.547,0.57,19.6,4.4,7.2,2.4,11.6,0.81,0.19,1.62,7.2,108.8,115
Tobias Harris,Phi,62,32.5,67.7,23.9,9.5,204,0.892,716,0.546,208,0.394,0.556,0.597,19.5,6.8,11.4,3.5,17.6,0.89,0.82,1.73,9.5,118,104.9
Kemba Walker,Bos,43,31.8,66.3,26.1,10.6,149,0.899,323,0.486,353,0.36,0.514,0.559,19.3,4,6.9,4.9,23.8,1.12,0.28,2.05,9.1,113.5,112.6
Anthony Edwards,Min,72,32.1,67,27,10.8,272,0.776,690,0.484,520,0.329,0.488,0.523,19.3,4.7,7.9,2.9,14.6,1.14,0.49,2.24,8,101.4,113.6
Ja Morant,Mem,63,32.6,67.9,27.2,15.3,372,0.728,716,0.499,241,0.303,0.487,0.537,19.1,4,6.5,7.4,33.5,0.9,0.21,3.22,10.1,107.6,112.5
Michael Porter Jr.,Den,61,31.3,65.3,21.8,8.2,134,0.791,435,0.628,382,0.445,0.646,0.663,19,7.3,13.2,1.1,5.6,0.66,0.89,1.28,6.8,124.6,108.5
Kelly Olynyk,Hou,27,31.1,64.8,22.9,15.7,135,0.844,196,0.643,125,0.392,0.621,0.674,19,8.4,14.5,4.1,21.9,1.44,0.59,2.63,11.2,123.1,105
D'Angelo Russell,Min,42,28.5,59.3,29.1,13.5,149,0.765,342,0.471,310,0.387,0.523,0.555,19,2.6,5,5.8,33.7,1.07,0.43,2.67,9.3,108,114.4
Bam Adebayo,Mia,64,33.5,69.7,23.7,15,354,0.799,792,0.573,8,0.25,0.571,0.626,18.7,9,15.3,5.4,26.9,1.17,1.03,2.64,11.6,121.7,105
Andrew Wiggins,Gol,71,33.3,69.4,23.3,9.7,238,0.714,690,0.529,368,0.38,0.543,0.568,18.6,4.9,7.8,2.4,10.9,0.93,0.99,1.76,7.2,107.4,108.7
Caris LeVert,Bro,12,27.8,57.9,31.5,10.8,34,0.765,137,0.474,63,0.349,0.49,0.516,18.5,4.3,8.6,6,34.2,1.08,0.5,2.17,11.2,107.6,110.5
Jordan Clarkson,Uta,68,26.7,55.7,29.8,9.2,144,0.896,476,0.523,599,0.347,0.522,0.549,18.4,4,8,2.5,15.3,0.9,0.15,1.69,8.5,108.9,105.2
Eric Gordon,Hou,27,29.2,60.9,25.2,10.9,114,0.825,157,0.573,210,0.329,0.527,0.577,17.8,2.1,3.9,2.6,14.6,0.52,0.48,1.89,6.3,108.4,115.8
Jrue Holiday,Mil,59,32.3,67.3,22.2,12.6,136,0.787,540,0.561,283,0.392,0.57,0.592,17.7,4.5,7.4,6.1,26.3,1.64,0.63,2.15,9.7,119.9,109.2
John Collins,Atl,63,29.3,61.1,22.2,8.9,204,0.833,563,0.615,208,0.399,0.61,0.645,17.6,7.4,13.8,1.2,6.9,0.54,1,1.33,7.4,124.3,104.1
RJ Barrett,Nyk,72,34.9,72.7,23.4,10.5,276,0.746,750,0.457,309,0.401,0.5,0.535,17.6,5.8,8.9,3,13.8,0.74,0.28,1.93,7.7,106.2,104.7
Andre Drummond,Cle,25,28.9,60.2,31.3,15.6,129,0.597,372,0.484,8,0,0.474,0.5,17.5,13.5,26,2.6,16.2,1.6,1.16,3.24,11.8,96.9,100.8
Darius Garland,Cle,54,33.1,69.1,24.9,16,132,0.848,536,0.479,266,0.395,0.517,0.547,17.4,2.4,4,6.1,30.9,1.22,0.11,3.04,7.7,104.5,113.1
Kyle Lowry,Tor,46,34.8,72.5,21.4,15.9,160,0.875,265,0.487,331,0.396,0.546,0.593,17.2,5.3,8.4,7.3,31.8,1.02,0.26,2.74,10,116.9,108
Dillon Brooks,Mem,67,29.8,62.1,26.1,9.6,195,0.815,659,0.461,372,0.344,0.481,0.515,17.2,2.9,5.2,2.3,11.7,1.16,0.39,1.78,6.5,101.2,104
Jonas Valanciunas,Mem,62,28.3,59,22.4,10.7,203,0.773,685,0.612,57,0.368,0.607,0.636,17.1,12.5,23.4,1.8,10,0.56,0.92,1.61,10.3,124.9,101
Norman Powell,Por,27,34.4,71.6,20.5,9.7,108,0.88,205,0.502,147,0.361,0.518,0.576,17,3.3,5.1,1.9,8.1,1.3,0.37,1.59,5.5,113.4,113.6
Bojan Bogdanovic,Uta,72,30.8,64.1,22.8,10.9,265,0.879,464,0.487,461,0.39,0.536,0.588,17,3.9,6.7,1.9,9.1,0.63,0.06,1.78,6.5,113.1,107.4
Tim Hardaway Jr.,Dal,70,28.4,59.1,23.4,6.1,174,0.816,382,0.524,529,0.391,0.56,0.589,16.6,3.3,6.4,1.8,9.8,0.44,0.16,0.91,6.5,116,112.4
Buddy Hield,Sac,71,34.3,71.4,20.7,11.1,104,0.846,271,0.446,721,0.391,0.548,0.567,16.6,4.7,7.6,3.6,14.7,0.89,0.42,1.83,7.6,108.5,113.9
Kevin Porter Jr.,Hou,26,32.1,66.9,25.4,18.2,94,0.734,206,0.515,161,0.311,0.493,0.528,16.6,3.8,6.3,6.3,31.2,0.73,0.31,3.5,9.2,100.7,112.8
Chris Paul,Pho,70,31.4,65.5,22.6,14,181,0.934,621,0.543,258,0.395,0.557,0.599,16.4,4.4,8,8.9,40.8,1.43,0.26,2.23,11,123.7,106
Khyri Thomas,Hou,5,30.6,63.7,21.1,7.9,9,1,39,0.59,27,0.333,0.553,0.586,16.4,3.6,6.3,5,26.9,1.8,1.2,1.2,8.7,122.8,113.3
Bogdan Bogdanovic,Atl,44,29.7,61.8,21.3,8.5,44,0.909,232,0.522,333,0.438,0.602,0.616,16.4,3.6,6.7,3.3,17.6,1.11,0.3,1.23,7.8,121.1,108.3
Mike Conley,Uta,51,29.4,61.2,23.1,12.4,142,0.852,305,0.479,335,0.412,0.552,0.589,16.2,3.5,6.2,6,30.6,1.37,0.18,1.94,9.5,122.3,104.6
Gary Trent Jr.,Tor,17,31.8,66.2,22.9,4.2,31,0.806,137,0.431,124,0.355,0.479,0.501,16.2,3.6,6.2,1.3,6.4,1.12,0.24,0.71,5.3,100.3,112.7
Harrison Barnes,Sac,58,36.3,75.5,17.2,11.1,235,0.83,386,0.567,256,0.391,0.575,0.626,16.1,6.6,10.2,3.5,13,0.74,0.19,1.6,7.9,122.3,117.4
Elijah Bryant,Mil,1,31.6,65.8,24.3,21.8,3,1,8,0.625,5,0.2,0.5,0.559,16,6,10,3,12.8,0,1,4,8.4,98.9,103.8
OG Anunoby,Tor,43,33.3,69.4,19.2,11.8,102,0.784,257,0.564,261,0.398,0.581,0.606,15.9,5.5,9.1,2.2,10.1,1.53,0.72,1.74,6.9,113.2,108.2
LaMelo Ball,Cha,51,28.8,60,26.1,16.3,165,0.758,411,0.489,261,0.352,0.504,0.539,15.7,5.9,11.1,6.1,33.9,1.59,0.35,2.84,11.5,107.3,104.2
Dejounte Murray,San,67,31.9,66.5,23.4,10.2,134,0.791,775,0.488,199,0.317,0.485,0.509,15.7,7.1,11.8,5.4,25.9,1.51,0.1,1.75,10.6,105.5,107
Terrence Ross,Orl,46,29.3,61,24.1,9.7,138,0.87,352,0.469,264,0.337,0.485,0.53,15.6,3.4,6.1,2.4,13.4,1.02,0.46,1.59,6.9,103,111
T.J. Warren,Ind,4,29.4,61.1,21.5,6.7,10,0.8,44,0.614,7,0,0.529,0.56,15.5,3.5,6.5,1.3,6.4,0.5,0,1,5.6,107,104.7
Derrick White,San,36,29.5,61.6,22.4,8.2,114,0.851,210,0.486,243,0.346,0.503,0.55,15.4,3,5.4,3.5,17.4,0.72,1,1.25,7.4,110.6,108.7
Dennis Schroder,Lal,61,32.1,66.8,22.9,15.8,243,0.848,548,0.476,212,0.335,0.484,0.543,15.4,3.5,6,5.8,26.9,1.16,0.21,2.67,8.5,107.1,102.7
Kelly Oubre Jr.,Gol,55,30.7,63.9,22.1,8,177,0.695,439,0.519,285,0.316,0.501,0.529,15.4,6,10.4,1.3,6.5,1.04,0.76,1.27,6.4,103.3,106.8
Clint Capela,Atl,63,30.1,62.8,19.9,8.4,227,0.573,696,0.595,0,0,0.595,0.602,15.2,14.3,26,0.8,4.1,0.7,2.05,1.16,7.4,124.3,103.3
Coby White,Chi,69,31.2,65.1,22.5,13.9,142,0.901,448,0.473,454,0.359,0.506,0.54,15.1,4.1,7.3,4.8,21.8,0.55,0.22,2.26,8.6,105.5,108.3
Tyler Herro,Mia,54,30.3,63.1,23.5,11.9,117,0.803,402,0.498,297,0.36,0.516,0.543,15.1,4.9,9.3,3.4,18,0.65,0.31,1.87,8.3,103.6,110.3
De'Andre Hunter,Atl,23,29.5,61.4,20.2,9.2,85,0.859,153,0.582,95,0.326,0.546,0.603,15,4.8,8.9,1.9,9.7,0.83,0.52,1.26,7,118.4,106.8
Gary Trent Jr.,Por,41,30.8,64.1,20.1,5.3,75,0.773,219,0.438,305,0.397,0.53,0.55,15,2.2,3.9,1.4,6.7,0.9,0.15,0.76,4.7,112,116.4
Derrick Rose,Nyk,35,26.8,55.8,24.3,9.6,77,0.883,337,0.507,90,0.411,0.53,0.565,14.9,2.9,5.8,4.2,26.3,0.89,0.43,1.4,8.5,115.1,109
Devonte' Graham,Cha,55,30.2,62.8,21.4,10.2,158,0.842,192,0.38,477,0.375,0.51,0.552,14.8,2.7,4.8,5.4,26.3,0.87,0.11,1.53,7.9,115.3,113.6
Kendrick Nunn,Mia,56,29.5,61.4,20.9,10.5,60,0.933,338,0.583,320,0.381,0.578,0.596,14.6,3.2,6.2,2.6,14.5,0.96,0.25,1.43,6.7,110.6,108.5
Lonzo Ball,Nor,55,31.8,66.2,20.5,14.5,64,0.781,245,0.482,455,0.378,0.537,0.551,14.6,4.8,8.2,5.7,25.4,1.49,0.56,2.24,9.3,109.8,109.5
Aaron Gordon,Orl,25,29.4,61.3,23.9,16.5,105,0.629,181,0.475,112,0.375,0.509,0.537,14.6,6.6,11.7,4.2,23,0.64,0.8,2.68,10.1,102.8,109.9
Deandre Ayton,Pho,69,30.6,63.8,18.2,11.8,173,0.769,667,0.639,20,0.2,0.629,0.653,14.4,10.5,19.5,1.4,6.8,0.59,1.17,1.48,7.8,127.1,102.8
Jaren Jackson Jr.,Mem,11,23.5,48.9,25.9,9.5,42,0.833,65,0.554,60,0.283,0.492,0.551,14.4,5.6,12.7,1.1,6.8,1.09,1.64,1.36,7.6,108.5,95.8
Thomas Bryant,Was,10,27.1,56.4,17.2,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.9,1.5,8.2,0.4,0.8,1.1,7.5,131.1,104.9
Rudy Gobert,Uta,71,30.8,64.2,17,13.7,374,0.623,575,0.68,4,0,0.675,0.683,14.3,13.5,23.3,1.3,6,0.56,2.68,1.66,8.2,129.9,99.1
Ben Simmons,Phi,58,32.4,67.4,20.2,19.6,287,0.613,573,0.562,10,0.3,0.56,0.584,14.3,7.2,12.2,6.9,31.3,1.6,0.6,2.98,11,114,100.2
Richaun Holmes,Sac,61,29.2,60.8,17.5,10.3,170,0.794,564,0.645,11,0.182,0.638,0.669,14.2,8.3,15.7,1.7,8.3,0.64,1.56,1.23,8,129.5,106.7
Al Horford,Okc,28,27.9,58.2,21.6,7.3,22,0.818,208,0.51,152,0.368,0.528,0.538,14.2,6.7,12.5,3.4,20.1,0.89,0.93,1.04,9.8,111.2,109
Derrick Rose,Det,15,22.8,47.4,30.1,12.3,50,0.84,145,0.455,39,0.333,0.465,0.517,14.2,1.9,4.7,4.2,32.5,1.2,0.27,1.93,8.5,103.8,111.4
Joe Harris,Bro,69,31,64.7,16.2,7.8,63,0.778,263,0.555,444,0.475,0.654,0.663,14.1,3.6,6.4,1.9,8.4,0.68,0.2,0.9,5.9,125.3,111.7
Marvin Bagley III,Sac,43,25.9,53.9,23.5,9.7,134,0.575,382,0.55,108,0.343,0.542,0.554,14.1,7.4,15.9,1,5.8,0.49,0.49,1.37,7.3,108.9,110.5
Luguentz Dort,Okc,52,29.7,61.8,21.7,10,164,0.744,310,0.432,329,0.343,0.475,0.513,14,3.6,6.4,1.7,8.8,0.87,0.37,1.52,5.9,99.9,109.3
Rui Hachimura,Was,57,31.5,65.7,18.1,8.6,161,0.77,511,0.519,137,0.328,0.513,0.549,13.8,5.5,9.2,1.4,6.3,0.79,0.12,1.19,6,106.8,109.6
LaMarcus Aldridge,San,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,0.95,7.3,107.3,110
Darius Bazley,Okc,55,31.2,64.9,22,13.7,178,0.702,404,0.47,286,0.29,0.456,0.491,13.7,7.2,12,1.8,8.9,0.53,0.45,2.22,7.2,92.4,112.9
Chris Boucher,Tor,60,24.2,50.4,20.6,6.7,193,0.788,325,0.609,235,0.383,0.595,0.634,13.6,6.7,15.3,1.1,7,0.58,1.85,0.77,7.7,127.2,103.3
Doug McDermott,Ind,66,24.5,51.1,20,7,98,0.816,379,0.641,286,0.388,0.616,0.635,13.6,3.3,7.4,1.3,7.8,0.3,0.09,0.8,6.3,120.8,111.9
